loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),identifierForVendor(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),avAudioRecorder_Timestamp_since1970(s),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),label(N)
2022-02-18 15:43:13.353 +0100,1,1645195393.000022,48.72867719464266,9.136063108553605,435.8289,0.8544461,2.381176,76.52816239726901,129.1591231042641,2.042676531962316,6.383019143787405,-9999,1645195393.340374,1.236026287078857,-27.62193489074707,-34.67333984375,200.7012939453125,197.4277191162109,18.04621696472168,201897.320671625,-0.109405517578125,-0.199737548828125,-0.9904327392578125,201897.320671625,-0.02799088880419731,0.06344768404960632,-0.05651121214032173,201897.322652625,-5.322540283203125,-58.68165588378906,-187.8383483886719,201897.313223625,2.820121227159952,-0.08650069339187269,0.2800802195346488,-0.04438585042953491,0.01402056310325861,-0.07625759392976761,-0.09215971082448959,0.02377867698669434,-0.0397983193397522,XArbitraryCorrectedZVertical,0.06458028916564493,0.1308026642801218,0.9755663824670381,0.1642868075646224,-0.08302641659975052,-0.2764327526092529,-0.9574400782585144,1.209153175354004,-27.54112815856934,-34.43222045898438,-1,2,201896.4367121667,unknown,2,2022-02-18 15:43:12.449 +0100,2022-02-18 15:39:21.174 +0100,8,1.202161,0,0,8.226965,0,0,2022-02-18 15:43:12.449 +0100,201894.197052,0,0.1030273,95.16679,0,,,Bernd iPhone 13 Pro,69473898-2D6C-4C42-A77E-91017F3400EE,0,5,1645195393.334686,1,0.93,0,-160,-160,0
2022-02-18 15:43:13.355 +0100,2,1645195393.000022,48.72867719464266,9.136063108553605,435.8289,0.8544461,2.381176,76.52816239726901,129.1591231042641,2.042676531962316,6.383019143787405,-9999,1645195393.340374,1.236026287078857,-27.62193489074707,-34.67333984375,200.7012939453125,197.4277191162109,18.04621696472168,201897.330601625,-0.0968780517578125,-0.17694091796875,-0.997039794921875,201897.330601625,-0.02310185693204403,0.1841250956058502,-0.03824032843112946,201897.332798625,-5.339141845703125,-58.55131530761719,-187.6962585449219,201897.323153625,2.819938653966177,-0.08588485794748879,0.2798202706981889,-0.02278536930680275,0.08546780049800873,-0.04975268989801407,-0.04418972879648209,0.05929544568061829,-0.03241264820098877,XArbitraryCorrectedZVertical,0.06427201479358992,0.1307203294710665,0.9755899744441937,0.1643330193585777,-0.08244293183088303,-0.2761829197406769,-0.9575626254081726,1.236026287078857,-27.62193489074707,-34.67333984375,-1,2,201896.4367121667,unknown,2,2022-02-18 15:43:12.449 +0100,2022-02-18 15:39:21.174 +0100,8,1.202161,0,0,8.226965,0,0,2022-02-18 15:43:12.449 +0100,201894.197052,0,0.1030273,95.16679,0,,,Bernd iPhone 13 Pro,69473898-2D6C-4C42-A77E-91017F3400EE,0,5,1645195393.334686,1,0.93,0,-160,-160,0
2022-02-18 15:43:13.356 +0100,3,1645195393.000022,48.72867719464266,9.136063108553605,435.8289,0.8544461,2.381176,76.52816239726901,129.1591231042641,2.042676531962316,6.383019143787405,-9999,1645195393.340374,1.236026287078857,-27.62193489074707,-34.67333984375,200.7012939453125,197.4277191162109,18.04621696472168,201897.340530625,-0.0974273681640625,-0.1820831298828125,-0.9890899658203125,201897.340530625,-0.0174397099763155,0.2880813181400299,-0.01838113740086555,201897.342945625,-5.243972778320312,-58.67868041992188,-187.7254791259766,201897.333083625,2.819995904366957,-0.08430573770527471,0.2796519483149523,-0.02089265920221806,0.2066488265991211,-0.03243201971054077,-0.01490578055381775,0.09486976265907288,-0.03609782457351685,XArbitraryCorrectedZVertical,0.0634851171591099,0.1307695749876217,0.9756573253256529,0.1642002745481142,-0.08093463629484177,-0.2760211229324341,-0.957737922668457,1.23179817199707,-27.55168724060059,-34.64030456542969,-1,2,201896.4367121667,unknown,2,2022-02-18 15:43:12.449 +0100,2022-02-18 15:39:21.174 +0100,8,1.202161,0,0,8.226965,0,0,2022-02-18 15:43:12.449 +0100,201894.197052,0,0.1030273,95.16679,0,,,Bernd iPhone 13 Pro,69473898-2D6C-4C42-A77E-91017F3400EE,0,5,1645195393.334686,1,0.93,0,-160,-160,0
2022-02-18 15:43:13.365 +0100,4,1645195393.000022,48.72867719464266,9.136063108553605,435.8289,0.8544461,2.381176,76.52816239726901,129.1591231042641,2.042676531962316,6.383019143787405,-9999,1645195393.360784,1.298677921295166,-27.62281227111816,-34.65180969238281,200.6281890869141,197.3546142578125,18.04609870910645,201897.350460625,-0.08087158203125,-0.1923065185546875,-0.974365234375,201897.350460625,0.01224441546946764,0.3941941857337952,0.003932956140488386,201897.353092625,-5.101058959960938,-58.34129333496094,-187.7844696044922,201897.343012625,2.82026061255673,-0.08168847711920149,0.2794956181995387,-0.009557861834764481,0.3043246865272522,-0.0145649304613471,-0.02181896567344666,0.09726771712303162,-0.03789091110229492,XArbitraryCorrectedZVertical,0.06217901956869897,0.130916168643792,0.9757724611481806,0.1638984543167875,-0.07843123376369476,-0.2758708894252777,-0.9579894542694092,1.298677921295166,-27.62281227111816,-34.65180969238281,-1,2,201896.4367121667,unknown,2,2022-02-18 15:43:12.449 +0100,2022-02-18 15:39:21.174 +0100,8,1.202161,0,0,8.226965,0,0,2022-02-18 15:43:12.449 +0100,201894.197052,0,0.1030273,95.16679,1645195393.363902,192.168.178.58,192.0.0.1,Bernd iPhone 13 Pro,69473898-2D6C-4C42-A77E-91017F3400EE,0,5,1645195393.334686,1,0.93,0,-160,-160,0
2022-02-18 15:43:13.391 +0100,5,1645195393.000022,48.72867719464266,9.136063108553605,435.8289,0.8544461,2.381176,76.52816239726901,129.1591231042641,2.042676531962316,6.383019143787405,-9999,1645195393.380243,1.60010814666748,-27.5355281829834,-34.4813232421875,200.4765930175781,197.2030181884766,18.04599761962891,201897.360389625,-0.0668182373046875,-0.1900482177734375,-0.98529052734375,201897.360389625,0.04825142025947571,0.4982649087905884,0.02553598582744598,201897.363239625,-4.897476196289062,-58.61634826660156,-187.4644927978516,201897.352942625,2.820715740531587,-0.07810446317174718,0.2795557659442464,0.02083573117852211,0.4201644659042358,0.00559919374063611,-0.01240630447864532,0.08655279874801636,-0.0180249810218811,XArbitraryCorrectedZVertical,0.06040506057292206,0.1312528074346652,0.9759152715112447,0.1634420126288537,-0.07499599456787109,-0.2759286761283875,-0.9582478404045105,1.419951438903809,-27.40168952941895,-34.69728088378906,-1,2,201896.4367121667,unknown,2,2022-02-18 15:43:12.449 +0100,2022-02-18 15:39:21.174 +0100,8,1.202161,0,0,8.226965,0,0,2022-02-18 15:43:12.449 +0100,201894.197052,0,0.1030273,95.16679,1645195393.363902,192.168.178.58,192.0.0.1,Bernd iPhone 13 Pro,69473898-2D6C-4C42-A77E-91017F3400EE,0,5,1645195393.334686,1,0.93,0,-160,-160,0
2022-02-18 15:43:13.393 +0100,6,1645195393.000022,48.72867719464266,9.136063108553605,435.8289,0.8544461,2.381176,76.52816239726901,129.1591231042641,2.042676531962316,6.383019143787405,-9999,1645195393.380243,1.60010814666748,-27.5355281829834,-34.4813232421875,200.4765930175781,197.2030181884766,18.04599761962891,201897.370319625,-0.044647216796875,-0.1975860595703125,-0.9672698974609375,201897.370319625,0.08057180792093277,0.5255234241485596,0.05112070962786674,201897.373386625,-4.805770874023438,-58.63591003417969,-187.3768157958984,201897.362871625,2.821417830955485,-0.07353343776453559,0.2799211247910093,0.05560572445392609,0.507674515247345,0.02881993912160397,-0.001551128923892975,0.08536282181739807,-0.02180588245391846,XArbitraryCorrectedZVertical,0.05815611941887472,0.1318250365814373,0.9760818110714857,0.162801469073816,-0.07060763984918594,-0.2762798368930817,-0.9584800601005554,1.60010814666748,-27.5355281829834,-34.4813232421875,-1,2,201896.4367121667,unknown,2,2022-02-18 15:43:12.449 +0100,2022-02-18 15:39:21.174 +0100,8,1.202161,0,0,8.226965,0,0,2022-02-18 15:43:12.449 +0100,201894.197052,0,0.1030273,95.16679,1645195393.363902,192.168.178.58,192.0.0.1,Bernd iPhone 13 Pro,69473898-2D6C-4C42-A77E-91017F3400EE,0,5,1645195393.334686,1,0.93,0,-160,-160,0
2022-02-18 15:43:13.395 +0100,7,1645195393.000022,48.72867719464266,9.136063108553605,435.8289,0.8544461,2.381176,76.52816239726901,129.1591231042641,2.042676531962316,6.383019143787405,-9999,1645195393.380243,1.60010814666748,-27.5355281829834,-34.4813232421875,200.4765930175781,197.2030181884766,18.04599761962891,201897.380249625,-0.0164031982421875,-0.212158203125,-0.91302490234375,201897.380249625,0.124174676835537,0.474604606628418,0.08469677716493607,201897.373386625,-4.805770874023438,-58.63591003417969,-187.3768157958984,201897.372801625,2.8224339214915,-0.06855907116965776,0.2806194256205195,0.09238771349191666,0.5129161477088928,0.05844520777463913,0.01090937852859497,0.08432489633560181,-0.02202540636062622,XArbitraryCorrectedZVertical,0.05571431686257813,0.1325992442800638,0.9762558308351074,0.161981049943832,-0.06582572311162949,-0.2769508957862854,-0.9586266875267029,1.716987609863281,-27.58761405944824,-34.35713195800781,-1,2,201896.4367121667,unknown,2,2022-02-18 15:43:12.449 +0100,2022-02-18 15:39:21.174 +0100,8,1.202161,0,0,8.226965,0,0,2022-02-18 15:43:12.449 +0100,201894.197052,0,0.1030273,95.16679,1645195393.363902,192.168.178.58,192.0.0.1,Bernd iPhone 13 Pro,69473898-2D6C-4C42-A77E-91017F3400EE,0,5,1645195393.334686,1,0.93,0,-160,-160,0
2022-02-18 15:43:13.421 +0100,8,1645195393.000022,48.72867719464266,9.136063108553605,435.8289,0.8544461,2.381176,76.52816239726901,129.1591231042641,2.042676531962316,6.383019143787405,-9999,1645195393.419901,2.178644180297852,-27.88295555114746,-34.12370300292969,199.9360809326172,196.6625061035156,18.04573059082031,201897.390178625,0.014862060546875,-0.2080230712890625,-0.8636016845703125,201897.390178625,0.1820489019155502,0.3581634759902954,0.1378867626190186,201897.383533625,-4.629440307617188,-58.65565490722656,-187.5741729736328,201897.382731625,2.823323270416543,-0.06403019090866092,0.281720632411103,0.1434090584516525,0.4430197775363922,0.09818756580352783,0.03470013663172722,0.07000201940536499,0.02455830574035645,XArbitraryCorrectedZVertical,0.05352827827638704,0.1335278748220303,0.9763724001867313,0.1612512030144479,-0.06146400794386864,-0.2780088484287262,-0.9586100578308105,1.716987609863281,-27.58761405944824,-34.35713195800781,-1,2,201896.4367121667,unknown,2,2022-02-18 15:43:12.449 +0100,2022-02-18 15:39:21.174 +0100,8,1.202161,0,0,8.226965,0,0,2022-02-18 15:43:12.449 +0100,201894.197052,0,0.1030273,95.16679,1645195393.363902,192.168.178.58,192.0.0.1,Bernd iPhone 13 Pro,69473898-2D6C-4C42-A77E-91017F3400EE,0,5,1645195393.334686,1,0.93,0,-160,-160,0
2022-02-18 15:43:13.428 +0100,9,1645195393.000022,48.72867719464266,9.136063108553605,435.8289,0.8544461,2.381176,76.52816239726901,129.1591231042641,2.042676531962316,6.383019143787405,-9999,1645195393.419901,2.178644180297852,-27.88295555114746,-34.12370300292969,199.9360809326172,196.6625061035156,18.04573059082031,201897.400108625,0.046356201171875,-0.2073822021484375,-0.814910888671875,201897.400108625,0.2030023783445358,0.2444081455469131,0.2005916833877563,201897.393680625,-4.228134155273438,-58.80245971679688,-187.3153076171875,201897.392660625,2.825246995723611,-0.06067080093346767,0.2833148453996697,0.1905925422906876,0.320465087890625,0.151656374335289,0.06093247979879379,0.06916791200637817,0.07520377635955811,XArbitraryCorrectedZVertical,0.05188036238099623,0.1346278815496999,0.976500814041653,0.1600933570028885,-0.05821637436747551,-0.2795398831367493,-0.9583675265312195,1.876398086547852,-27.61656379699707,-34.46296691894531,-1,2,201896.4367121667,unknown,2,2022-02-18 15:43:12.449 +0100,2022-02-18 15:39:21.174 +0100,8,1.202161,0,0,8.226965,0,0,2022-02-18 15:43:12.449 +0100,201894.197052,0,0.1030273,95.16679,1645195393.363902,192.168.178.58,192.0.0.1,Bernd iPhone 13 Pro,69473898-2D6C-4C42-A77E-91017F3400EE,0,5,1645195393.334686,1,0.93,0,-160,-160,0
2022-02-18 15:43:13.429 +0100,10,1645195393.000022,48.72867719464266,9.136063108553605,435.8289,0.8544461,2.381176,76.52816239726901,129.1591231042641,2.042676531962316,6.383019143787405,-9999,1645195393.419901,2.178644180297852,-27.88295555114746,-34.12370300292969,199.9360809326172,196.6625061035156,18.04573059082031,201897.410038625,0.0569305419921875,-0.2066192626953125,-0.78033447265625,201897.410038625,0.1895480901002884,0.1667184084653854,0.2604171931743622,201897.403826625,-4.402633666992188,-58.97145080566406,-187.1195068359375,201897.402590625,2.82767933409411,-0.05860935913403966,0.2852102165685896,0.2074039280414581,0.2125697582960129,0.2145320773124695,0.09063337743282318,0.07396277785301208,0.1260606646537781,XArbitraryCorrectedZVertical,0.05085256141675192,0.1357814224709005,0.97661065520398,0.1587728669271409,-0.0562094934284687,-0.2813591957092285,-0.9579548239707947,2.208858489990234,-27.72982597351074,-34.30790710449219,-1,2,201896.4367121667,unknown,2,2022-02-18 15:43:12.449 +0100,2022-02-18 15:39:21.174 +0100,8,1.202161,0,0,8.226965,0,0,2022-02-18 15:43:12.449 +0100,201894.197052,0,0.1030273,95.16679,1645195393.363902,192.168.178.58,192.0.0.1,Bernd iPhone 13 Pro,69473898-2D6C-4C42-A77E-91017F3400EE,0,5,1645195393.334686,1,0.93,0,-160,-160,0
